line,rep,canopy_score,flowering_das,plant_ht,anthesis_biomass,peduncle_length,plot_yield
58,1,2.7,176,88,582.62,15,608.9
84,1,2.7,179,90,673.62,15,657.89
106,1,2.7,174,80,544.71,14,639.7
132,1,1.7,170,80,536.49,14,576.71
153,1,4.3,174,95,,18,615.9
178,1,2.7,175,80,637.32,15,510.92
198,1,2.3,179,80,535.09,14,691.49
283,1,1.3,174,80,511.07,13,655.1
21,2,2.7,179,85,589.99,9,638.3
289,2,2,179,85,584.53,11,670.49
308,2,3,175,72,498.18,11,599.1
188,2,1.7,181,85,520.82,9,795.07
82,2,4.7,176,85,419.73,15,695.69
150,2,1.7,174,85,544.1,18,743.28
118,2,3,179,80,686.1,7,722.28
148,2,3.7,179,96,729.46,13,688.69
126,2,3,176,105,743.38,20,610.3
137,2,3,176,93,615.1,22,604.7
Eagle hawk,1,6.7,179,85,670.79,10,627.1
19,1,2.7,168,90,556.47,17,513.72
36,1,1.7,174,100,645.25,15,685.89
53,1,1,174,80,591.97,11,618.7
83,1,1.3,179,85,629.23,16,706.89
104,1,5,179,87,592.3,17,732.08
130,1,1.7,182,72,523.74,11,610.3
152,1,1,184,85,598.07,15,706.89
177,1,3.7,174,92,532.57,18,650.9
196,1,1.7,175,87,565.17,14,677.49
238,1,3,179,80,509.87,11,587.91
98,2,4,173,87,438.42,15,540.31
41,2,1.7,182,92,541.79,16,673.29
209,2,4,176,97,530.04,16,632.7
80,2,2.7,176,95,531.57,15,732.08
53,2,2.7,176,83,473.49,15,642.5
160,2,2.7,182,76,616.58,8,785.27
104,2,5.3,179,82,502.59,11,648.1
125,2,1.3,175,87,562.33,14,683.09
123,2,1.3,176,85,649.29,13,678.89
95,2,2,175,92,677.65,11,653.7
Longsword,1,3,173,92,665.85,18,685.89
18,1,3,171,83,521.97,14,517.92
35,1,2,176,97,654.59,13,704.09
52,1,1,171,80,579.75,21,601.9
82,1,4,175,95,481.04,15,631.3
99,1,2.7,175,92,521.13,15,691.49
127,1,2.3,174,85,486.11,20,736.28
151,1,5,179,77,,11,762.88
176,1,1.3,179,80,582.47,5,746.08
195,1,3,179,80,568.75,14,676.09
232,1,2,179,68,434.75,9,585.11
27,2,3.3,172,85,458.65,12,468.92
232,2,3.3,176,67,449.36,8,561.31
84,2,2.7,179,82,502.41,12,544.51
194,2,2.3,182,82,666.35,10,737.68
24,2,4.3,182,78,458.6,7,468.92
127,2,2,176,88,628.86,17,639.7
151,2,4,179,77,513.67,10,704.09
77,2,6.7,176,96,572.94,14,653.7
176,2,1,176,83,711.57,9,795.07
130,2,2,181,80,686.26,11,625.7
Lancer,2,9,179,82,617.44,19,750.28
17,1,3,174,90,647.25,16,573.91
34,1,3,176,97,603.97,18,754.48
51,1,4,179,97,609.89,14,592.11
81,1,3.3,179,85,572.7,17,606.1
Bennett 2,1,2.7,179,90,,16,803.47
126,1,3.7,179,95,561.07,19,687.29
150,1,2.7,172,85,454.57,18,666.29
173,1,3,174,85,439.42,17,627.1
194,1,2.7,179,77,614.25,10,694.29
222,1,1.7,182,90,,14,564.11
92,2,1.3,175,85,396.22,14,536.11
165,2,2,179,74,409.46,10,415.73
112,2,3.3,175,100,413.09,19,572.51
33,2,2.3,174,95,445.78,17,601.9
142,2,2.3,175,82,,11,704.09
44,2,5.7,174,88,640.32,16,638.3
48,2,1.7,181,84,630.36,13,730.68
161,2,1.8,177,75,553.76,10,736.28
170,2,2,173,97,615.72,16,705.49
159,2,1,175,90,615.64,12,697.09
Sceptre,2,2.7,171,82,544.8,15,765.68
15,1,2.3,175,84,,13,765.68
33,1,3.7,168,95,602.39,21,562.71
50,1,2.7,179,92,657.47,18,501.12
80,1,3.3,172,92,463.85,17,561.31
97,1,3.7,176,90,563.88,21,611.7
125,1,1.3,177,82,420.31,16,684
148,1,3.7,179,87,500.68,14,586.51
172,1,2,179,82,503.23,9,685.89
193,1,3.3,177,95,458.44,14,589.31
212,1,1.7,174,85,474.37,11,720.88
86,2,4,179,90,573.36,11,432.53
133,2,2.3,183,72,488.56,8,450.73
94,2,2.7,180,82,543.46,14,533.31
156,2,7.7,179,94,571.07,13,520.72
114,2,3,183,76,564.42,12,644
ss1006,2,5,179,90,627.6,17,666.29
63,2,4.7,172,85,635.64,16,672
91,2,2,179,80,513.85,13,674.69
238,2,3,177,92,654.55,13,709.69
50,2,2,176,102,665,16,551.51
Harper,2,4,168,82,546.94,19,653.7
9,1,1.7,176,86,674.55,17,629.9
31,1,2.3,171,92,594.89,18,638.3
48,1,1.7,181,87,672.61,15,599.1
79,1,2,170,92,624.82,16,690.09
96,1,3.3,176,70,499.72,14,645.3
123,1,1.3,179,80,502.52,12,645.3
145,1,3.3,179,68,496.58,11,622.9
171,1,1.7,179,95,506.81,17,530.52
192,1,2.7,176,90,437.15,15,660.69
211,1,4,176,80,541.09,8,699.89
119,2,2.3,176,80,452.87,18,523.52
31,2,4,175,80,439.37,14,509.52
78,2,2,175,77,446.39,14,439.53
18,2,3.7,179,82,439,11,627.1
193,2,1.7,177,97,560.37,16,580.91
70,2,1.7,179,77,584.03,8,727.88
210,2,4,175,85,555.04,14,753.08
36,2,2,175,94,471.69,16,723.68
22,2,2.7,177,100,649.98,15,720.88
96,2,3,177,77,533.6,11,614.5
Beaufort,2,1.7,177,85,679.7,9,778.28
8,1,1.3,176,95,558.83,13,564.11
29,1,3.3,176,90,600.83,14,715.29
46,1,2,170,70,566.71,12,625.7
78,1,1.7,177,80,462.11,15,495.52
95,1,2.3,176,80,491.72,10,601.9
122,1,2.7,180,85,461.18,13,671.89
143,1,2.3,175,73,469.93,13,615.9
170,1,3,177,88,436.88,15,634.1
190,1,2.3,179,95,492.81,13,615.9
210,1,3.3,176,85,430.06,14,666.29
51,2,3.3,183,90,402.6,10,366.74
37,2,3.3,176,76,435.89,10,473.12
39,2,1,186,85,406.23,12,377.94
195,2,3,179,84,551.86,11,614.5
20,2,1.7,179,82,564.71,13,705.49
68,2,6,179,96,516.93,17,635.5
81,2,4.7,180,90,593.73,14,753.08
46,2,3.3,175,72,504.02,8,750.28
181,2,1.3,184,106,605.99,18,589.31
132,2,1.7,172,87,667.55,17,631.3
Trojan,2,3,171,80,568.09,16,712.49
7,1,1,179,77,575.33,10,649.5
28,1,1.7,173,105,631.27,21,547.31
45,1,2.3,181,82,502.41,14,554.31
77,1,4.3,171,85,527.54,15,565.51
94,1,3,179,85,493.03,15,604.7
121,1,1.7,176,75,522.42,14,622.9
142,1,2,175,76,444.56,12,565.51
165,1,3.3,179,75,563.27,12,466.13
188,1,2.3,183,80,433.77,10,690.09
209,1,3.3,179,95,496.36,16,604.7
106,2,3.3,175,90,460.68,9,464.73
7,2,1.7,180,76,446.1,9,550.11
152,2,1,185,80,463.17,14,485.72
45,2,2,184,80,409.9,12,596.3
198,2,3.3,181,77,469.85,11,548.71
35,2,2.7,179,95,665.66,11,741.88
9,2,3,179,85,569.83,12,713.89
76,2,7.7,181,88,,17,667.69
183,2,6.3,175,90,468.79,15,697.09
40,2,4.3,176,95,528.45,13,606.1
Eagle hawk,2,3.3,176,78,573.32,12,593.51
Bennett 1,1,2.7,179,85,,11,757.28
27,1,2,173,95,595.27,19,480.12
44,1,3.7,175,82,443.06,24,557.11
76,1,5,177,80,404.97,15,558.51
93,1,2,167,80,466.34,17,571.11
119,1,2.3,171,84,418.33,17,519.32
141,1,4,178,88,566.03,16,445.13
162,1,3.3,180,90,432.46,9,502.52
186,1,1.3,185,75,345.86,17,538.91
208,1,4.3,180,75,465.55,13,544.51
178,2,3.3,179,85,445.25,15,349.94
212,2,2.3,174,80,397.65,12,565.51
182,2,2,179,75,492.54,13,547.31
143,2,5.3,176,74,382.44,8,600.5
145,2,3.7,180,65,485.01,12,561.31
153,2,5.7,175,100,532.23,19,638.3
85,2,1.7,180,87,506.82,12,708.29
23,2,3,175,80,556.39,16,677.49
206,2,2.3,175,85,497.8,20,673.29
177,2,3.3,175,95,598.88,19,552.91
Longsword,2,2.3,169,84,634.77,15,646.7
